session_id,expertise_level,ai_suggestions_shown,ai_suggestions_accepted,ai_acceptance_rate
9666f070-8ec9-4ad3-a159-6603db4decb9,intermediate,0,0,
5f62f013-0b12-4b3a-9263-3bec7598d657,intermediate,1,1,1.0
a3f8aca0-3a7a-4a47-9521-e91ba1820d86,advanced,4,3,0.75
c71baced-730f-4519-8f3b-23bddf06d43c,advanced,8,6,0.75
ce3f294c-2284-47b4-b9b0-f563f6f6ebe4,intermediate,5,1,0.2
cfec66a5-3922-40d1-af52-b4fe3b92ff38,intermediate,0,0,
6b9a2157-3e45-47bf-a6ec-7f35d3b4bc68,intermediate,0,0,
42e35cf6-4472-471f-90c6-4259b0224e6a,advanced,9,7,0.778
65343626-4b30-456c-a52e-a4b00e481357,advanced,2,1,0.5
6e9b9926-e8db-4506-b3d3-94da80bf5a6b,advanced,0,0,
5279294d-3748-48e3-ae7b-4e21c016cbed,intermediate,4,3,0.75
e79143bc-efce-493b-8fbf-e75b07e787c8,intermediate,0,0,
033f7bd5-941b-4c1d-aa5d-5ea6da2a70a6,intermediate,3,2,0.667
11908e0d-9875-4702-916d-af66a0544394,advanced,0,0,
86e95e46-64cc-4da9-9129-5f9f27e64a84,beginner,3,3,1.0
738f9aec-71c7-4f41-ba4b-0ce304c5fa7d,advanced,1,1,1.0
f3470f6c-60d2-4353-b29b-e77aebb474a9,beginner,6,4,0.667
