session_id,ai_condition,expertise_level,expertise_score,pre_test_score,ai_attitude_score,completed,word_count,revision_count,time_spent_seconds,ai_suggestions_shown,ai_suggestions_accepted,ai_acceptance_rate,found_engaging,felt_motivated,ai_helpful,own_work,would_use_again,avg_creativity,avg_clarity,avg_completeness,avg_feasibility,n_raters
37c09aa9-628a-48f2-9ff5-79151f71cd2d,no-ai,intermediate,9,6,5.25,0,,,,0,0,,,,,,,,,,,0
29c98531-c841-449c-9bc0-a43390e37561,no-ai,beginner,6,3,5,0,,,,0,0,,,,,,,,,,,0
9666f070-8ec9-4ad3-a159-6603db4decb9,no-ai,intermediate,10,7,5.5,1,22,0,12,0,0,,,,,,,3,3.75,2.5,4.5,4
5f62f013-0b12-4b3a-9263-3bec7598d657,no-ai,intermediate,11,8,6,1,77,7,281,1,1,1,,,,,,3,3,2.5,4,2
7138d413-d297-4a7c-a3f3-62a152143da3,no-ai,intermediate,11,7,4,0,,,,0,0,,,,,,,,,,,0
80e3bc21-f078-4de2-a950-bfb2c7a8c95a,no-ai,advanced,13,8,6.25,0,,,,0,0,,,,,,,,,,,0
a3f8aca0-3a7a-4a47-9521-e91ba1820d86,no-ai,advanced,16,8,6.25,1,69,15,234,4,3,0.75,,,,,,2,3,2,4.5,2
c71baced-730f-4519-8f3b-23bddf06d43c,no-ai,advanced,12,5,6,1,70,29,529,8,6,0.75,,,,,,3.5,2.75,3.25,3.5,4
ce3f294c-2284-47b4-b9b0-f563f6f6ebe4,no-ai,intermediate,8,5,6.5,1,106,2,137,5,1,0.2,,,,,,3.5,6,5.25,6,4
cfec66a5-3922-40d1-af52-b4fe3b92ff38,no-ai,intermediate,8,5,4,1,122,0,29,0,0,,,,,,,4,6,6,5.75,4
6b9a2157-3e45-47bf-a6ec-7f35d3b4bc68,no-ai,intermediate,11,8,6.5,1,225,5,320,0,0,,,,,,,4,5.75,6.25,5.25,4
42e35cf6-4472-471f-90c6-4259b0224e6a,no-ai,advanced,15,8,5.5,1,163,26,416,9,7,0.778,,,,,,3.5,4,4,4.75,4
65343626-4b30-456c-a52e-a4b00e481357,no-ai,advanced,13,7,5,1,85,60,436,2,1,0.5,,,,,,3.25,2.75,2.25,3.25,4
0fc73a12-e034-4b1c-bc13-620693311e99,no-ai,intermediate,9,6,4,0,,,,0,0,,,,,,,,,,,0
6e9b9926-e8db-4506-b3d3-94da80bf5a6b,no-ai,advanced,14,7,6.5,1,44,0,7,0,0,,,,,,,3.5,6,4.5,6,2
5279294d-3748-48e3-ae7b-4e21c016cbed,no-ai,intermediate,11,4,6.75,1,163,30,449,4,3,0.75,,,,,,3.25,2.25,2.25,2.5,4
c7d98d53-a9b0-4896-ba66-bbf84e68290e,no-ai,beginner,4,0,1,0,,,,0,0,,,,,,,,,,,0
a6af87f5-9d9c-418a-b9d3-67eff175fb6e,no-ai,beginner,6,3,6,0,,,,0,0,,,,,,,,,,,0
e79143bc-efce-493b-8fbf-e75b07e787c8,no-ai,intermediate,10,7,5.75,1,132,0,19,0,0,,,,,,,4,5.333,4.667,5.333,3
9d676890-9cd6-406d-aeb2-eb4061679c53,no-ai,beginner,6,2,6.75,0,,,,0,0,,,,,,,,,,,0
015b9d7b-aceb-43d5-94e3-37cc28a35e9e,no-ai,beginner,6,2,7,0,,,,0,0,,,,,,,,,,,0
f92cb7cc-d0e9-48f8-acf4-fc36512e3d6c,no-ai,intermediate,9,1,6.75,0,,,,0,0,,,,,,,,,,,0
033f7bd5-941b-4c1d-aa5d-5ea6da2a70a6,no-ai,intermediate,7,2,4.5,1,155,2,141,3,2,0.667,,,,,,4.5,5.25,5,5,4
165a26b5-bd86-4b36-900f-31a85f81c5ab,no-ai,intermediate,7,3,1.25,0,,,,0,0,,,,,,,,,,,0
bb2ace3a-1805-456d-b5b6-a24696301fba,no-ai,intermediate,8,5,6.25,0,,,,0,0,,,,,,,,,,,0
19900904-3555-47a7-842c-aa20696b7658,no-ai,beginner,5,0,3.75,0,,,,0,0,,,,,,,,,,,0
11908e0d-9875-4702-916d-af66a0544394,no-ai,advanced,14,7,5.25,1,181,2,63,0,0,,,,,,,4,6,5,6,2
86e95e46-64cc-4da9-9129-5f9f27e64a84,no-ai,beginner,1,1,2.25,1,130,23,250,3,3,1,,,,,,2.5,2.25,2.5,2.75,4
738f9aec-71c7-4f41-ba4b-0ce304c5fa7d,no-ai,advanced,12,5,5,1,83,11,90,1,1,1,4,5,4,3,3,3.5,2.5,3,4,2
f3470f6c-60d2-4353-b29b-e77aebb474a9,no-ai,beginner,0,0,5.5,1,103,11,172,6,4,0.667,7,7,6,6,5,3.5,3.75,3.25,4,4
